"menu_id","name","permission","path","parent_id","icon","sort","keep_alive","type","create_time","update_time","del_flag"
1000,系统管理,,/system,-1,SettingIcon,0,0,"0","2018-09-28 08:29:53","2021-12-27 15:13:30","0"
1100,用户管理,,/system/user,1000,MenuIcon,1,0,"0","2017-11-02 22:24:37","2021-12-28 20:15:53","0"
1101,用户新增,sys_user_add,,1100,,1,0,"1","2017-11-08 09:52:09","2021-05-25 03:12:55","0"
1102,用户修改,sys_user_edit,,1100,,1,0,"1","2017-11-08 09:52:48","2021-05-25 03:12:55","0"
1103,用户删除,sys_user_del,,1100,,1,0,"1","2017-11-08 09:54:01","2021-05-25 03:12:55","0"
1104,导入导出,sys_user_export,,1100,,1,0,"1","2017-11-08 09:54:01","2021-05-25 03:12:55","0"
1200,菜单管理,,/system/menu,1000,MenuIcon,2,0,"0","2017-11-08 09:57:27","2021-12-28 20:14:22","0"
1201,菜单新增,sys_menu_add,,1200,,1,0,"1","2017-11-08 10:15:53","2021-05-25 03:12:55","0"
1202,菜单修改,sys_menu_edit,,1200,,1,0,"1","2017-11-08 10:16:23","2021-05-25 03:12:55","0"
1203,菜单删除,sys_menu_del,,1200,,1,0,"1","2017-11-08 10:16:43","2021-05-25 03:12:55","0"
1300,角色管理,,/system/role,1000,MenuIcon,3,0,"0","2017-11-08 10:13:37","2021-12-28 20:14:19","0"
1301,角色新增,sys_role_add,,1300,,1,0,"1","2017-11-08 10:14:18","2021-05-25 03:12:55","0"
1302,角色修改,sys_role_edit,,1300,,1,0,"1","2017-11-08 10:14:41","2021-05-25 03:12:55","0"
1303,角色删除,sys_role_del,,1300,,1,0,"1","2017-11-08 10:14:59","2021-05-25 03:12:55","0"
1304,分配权限,sys_role_perm,,1300,,1,0,"1","2018-04-20 07:22:55","2021-05-25 03:12:55","0"
1400,部门管理,,/system/department,1000,MenuIcon,4,0,"0","2018-01-20 13:17:19","2021-12-28 20:14:16","0"
1401,部门新增,sys_dept_add,,1400,,1,0,"1","2018-01-20 14:56:16","2021-05-25 03:12:55","0"
1402,部门修改,sys_dept_edit,,1400,,1,0,"1","2018-01-20 14:56:59","2021-05-25 03:12:55","0"
1403,部门删除,sys_dept_del,,1400,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
2000,网关管理,,/gateway,-1,OperationIcon,1,0,"0","2018-09-04 05:58:41","2021-12-31 16:17:42","0"
2100,网关日志,,/gateway/log,2000,MenuIcon,1,0,"0","2018-09-04 05:58:41","2021-12-28 20:14:25","0"
2101,网关日志新增,gateway_log_add,,2100,,1,0,"1","2018-01-20 14:56:16","2021-05-25 03:12:55","0"
2102,网关日志修改,gateway_log_edit,,2100,,1,0,"1","2018-01-20 14:56:59","2021-05-25 03:12:55","0"
2103,网关日志删除,gateway_log_del,,2100,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
2200,网关路由,,/gateway/route,2000,MenuIcon,2,0,"0","2018-09-04 05:58:41","2021-12-28 20:14:28","0"
2201,网关路由新增,gateway_route_add,,2200,,1,0,"1","2018-01-20 14:56:16","2021-05-25 03:12:55","0"
2202,网关路由修改,gateway_route_edit,,2200,,1,0,"1","2018-01-20 14:56:59","2021-05-25 03:12:55","0"
2203,网关路由删除,gateway_route_del,,2200,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
2204,网关路由拷贝,gateway_route_copy,,2200,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
2300,网关访问,,/gateway/access,2000,MenuIcon,3,0,"0","2018-09-04 05:58:41","2021-12-28 20:14:28","0"
2301,网关访问新增,gateway_access_add,,2300,,1,0,"1","2018-01-20 14:56:16","2021-05-25 03:12:55","0"
2302,网关访问修改,gateway_access_edit,,2300,,1,0,"1","2018-01-20 14:56:59","2021-05-25 03:12:55","0"
2303,网关访问删除,gateway_access_del,,2300,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
2304,网关访问状态启用禁用,gateway_access_status,,2300,,1,0,"1","2018-01-20 14:57:28","2021-05-25 03:12:55","0"
3000,项目信息,,/project,-1,MapLocationIcon,2,0,"0","2018-09-04 05:58:41","2021-12-31 16:17:42","0"
3100,项目依赖,,/project/information,3000,MenuIcon,1,0,"0","2018-09-04 05:58:41","2021-12-28 20:14:25","0"
2400,网关路由(新),,/gateway/createRoute,2000,MenuIcon,4,0,"0","2022-07-21 13:56:56","2022-07-21 13:56:56","0"
